x,tractCode,deaths,pop,log_rate,log_rate.post.mean
0,25013800101,3,1270,-6.048159890784527,-7.230854674872314
5,25013800101,0,1535,-Inf,-7.604869995425359
10,25013800101,0,1610,-Inf,-7.698606022557807
15,25013800101,0,1625,-Inf,-7.482663967301877
20,25013800101,0,1190,-Inf,-7.077590873794074
25,25013800101,3,1460,-6.187579426034272,-6.623357258710345
30,25013800101,3,1510,-6.22125264114086,-6.21294682280732
35,25013800101,0,1405,-Inf,-6.04972388983046
40,25013800101,3,1400,-6.145615226935241,-5.909343650092107
45,25013800101,3,1325,-6.0905554497522125,-5.624560373273577
50,25013800101,6,1235,-5.3270667798340225,-5.286235093267186
55,25013800101,12,1270,-4.661865529664636,-4.889189179014453
60,25013800101,15,1040,-4.238925791033208,-4.507175802741984
65,25013800101,21,955,-3.8171889027573074,-4.097682961186907
70,25013800101,15,650,-3.7689221617874726,-3.6442119633262644
75,25013800101,18,430,-3.1734134507914433,-3.124230379459218
80,25013800101,24,265,-2.4016759956382767,-2.5146830136520633
85,25013800101,45,270,-1.791759469228055,-1.829512289899444
0,25013800102,3,1725,-6.354370040797351,-7.120858846248279
5,25013800102,0,1685,-Inf,-7.592200943186355
10,25013800102,0,2115,-Inf,-7.784225186604102
15,25013800102,3,1665,-6.318968113746434,-7.651967955877102
20,25013800102,3,1375,-6.127596721432562,-7.30329585303015
25,25013800102,6,1755,-5.678464666671911,-6.882427520941583
30,25013800102,3,1775,-6.3829434132414065,-6.455760367952141
35,25013800102,0,1600,-Inf,-6.087825245562353
40,25013800102,6,1620,-5.598421958998375,-5.7238292419994385
45,25013800102,6,1285,-5.366754528101265,-5.387037749879045
50,25013800102,9,1260,-4.941642422609305,-5.064141497998894
55,25013800102,12,1135,-4.549481280127503,-4.742663354471246
60,25013800102,18,960,-3.9765615265657175,-4.447524197499093
65,25013800102,12,875,-4.289317236569614,-4.126495770073237
70,25013800102,15,560,-3.619886582626985,-3.7164670955583543
75,25013800102,12,450,-3.624340932976365,-3.2375248541002954
80,25013800102,12,175,-2.6798793241355137,-2.6814746027957046
85,25013800102,18,175,-2.2744142160273495,-2.053471808211351
0,25013800201,0,1655,-Inf,-7.530698508235512
5,25013800201,0,2100,-Inf,-7.91343125707111
10,25013800201,0,2105,-Inf,-7.973130864255573
15,25013800201,0,2155,-Inf,-7.673992213068576
20,25013800201,0,2245,-Inf,-7.167205731445436
25,25013800201,6,2285,-5.94236183410025,-6.632994263351788
30,25013800201,3,2135,-6.567609636994615,-6.176156272642221
35,25013800201,3,2150,-6.574610832453598,-6.050215351252989
40,25013800201,6,2275,-5.937975862156995,-5.966601026085882
45,25013800201,6,2160,-5.886104031450156,-5.703734994165781
50,25013800201,12,2365,-5.283626651138033,-5.377046209048815
55,25013800201,27,2345,-4.464203814876051,-4.980257976137421
60,25013800201,21,2210,-4.656225356788376,-4.582663230424516
65,25013800201,21,1625,-4.348740657040415,-4.155096737268409
70,25013800201,33,1320,-3.6888794541139363,-3.69665570125331
75,25013800201,27,855,-3.455264602932431,-3.1770787609802214
80,25013800201,27,450,-2.8134107167600364,-2.5734177139493832
85,25013800201,87,450,-1.6433394641097818,-1.8996073609243274
0,25013800202,0,410,-Inf,-7.877950060104186
5,25013800202,0,430,-Inf,-8.406650578725088
10,25013800202,0,460,-Inf,-8.481210708790577
15,25013800202,0,465,-Inf,-8.026973626144745
20,25013800202,0,445,-Inf,-7.274438451139004
25,25013800202,0,470,-Inf,-6.533564854029877
30,25013800202,0,415,-Inf,-5.913201367126801
35,25013800202,3,395,-4.880273476233012,-5.652323797109873
40,25013800202,3,425,-4.953476880256307,-5.470944824659446
45,25013800202,3,490,-5.095793102436563,-5.212304642091544
50,25013800202,3,555,-5.220355825078324,-4.940483948399892
55,25013800202,3,580,-5.264415814872355,-4.636885144319998
60,25013800202,12,570,-3.8607297110405954,-4.297296651002457
65,25013800202,12,490,-3.709498741316672,-3.9219693882862154
70,25013800202,3,265,-4.481117537318113,-3.5012650874615168
75,25013800202,12,75,-1.8325814637483102,-3.0331164616004602
80,25013800202,9,125,-2.631089159966082,-2.513075696816175
85,25013800202,15,110,-1.9924301646902063,-1.9443107250969711
0,25013800300,0,1135,-Inf,-7.916884481521971
5,25013800300,0,1315,-Inf,-8.4087228672088
10,25013800300,0,1860,-Inf,-8.465178069427191
15,25013800300,3,1730,-6.357264398823715,-8.0197255494493
20,25013800300,3,1675,-6.324956155591057,-7.293482670679601
25,25013800300,3,1555,-6.250618535945224,-6.577003603843291
30,25013800300,12,1535,-4.851379010233297,-5.982870012418545
35,25013800300,6,1445,-5.484105131318477,-5.774701720901865
40,25013800300,9,1705,-5.244095812381397,-5.643739429650789
45,25013800300,6,1650,-5.616771097666572,-5.392935324614066
50,25013800300,15,1675,-4.715518243156957,-5.110693899306426
55,25013800300,18,1825,-4.618963508120427,-4.781380164202152
60,25013800300,24,1630,-4.218281463452862,-4.4193161409418025
65,25013800300,21,1315,-4.137069506888442,-4.022087056091258
70,25013800300,15,1075,-4.272025739459553,-3.5888842463037975
75,25013800300,18,690,-3.6463198396951406,-3.1066522084855253
80,25013800300,24,330,-2.6210388241125804,-2.5658610304305944
85,25013800300,72,460,-1.8545603704670852,-1.9726587836829383
0,25013800400,0,2030,-Inf,-7.818728470899482
5,25013800400,0,2355,-Inf,-8.236291368689423
10,25013800400,0,2730,-Inf,-8.222970836025242
15,25013800400,0,2490,-Inf,-7.724733033675701
20,25013800400,0,2305,-Inf,-6.9684902233821715
25,25013800400,3,2230,-6.611144575786055,-6.236683710428564
30,25013800400,9,2510,-5.63081345478961,-5.660450398836801
35,25013800400,6,2445,-6.010040932680917,-5.601714921437666
40,25013800400,6,1990,-5.804130448490483,-5.632024749747529
45,25013800400,9,2155,-5.478321425201629,-5.417664449407187
50,25013800400,12,2100,-5.1647859739235145,-5.122395542167781
55,25013800400,21,2105,-4.607548308393059,-4.736207214251116
60,25013800400,30,1710,-4.04305126783455,-4.31069868694888
65,25013800400,27,1390,-3.9412221601204083,-3.8491333976990605
70,25013800400,33,1030,-3.440806519757201,-3.3838598339179873
75,25013800400,48,715,-2.7010815317861168,-2.8707080071942652
80,25013800400,36,400,-2.4079456086518722,-2.2889564723817046
85,25013800400,102,470,-1.5277598814198332,-1.6513639021951416
0,25013800500,3,1210,-5.999763349922677,-7.1747301180641685
5,25013800500,0,1245,-Inf,-7.424205432111823
10,25013800500,0,1335,-Inf,-7.457200040778518
15,25013800500,3,1430,-6.166817434585843,-7.271840290948487
20,25013800500,3,1185,-5.978885764901122,-6.956660091345972
25,25013800500,3,1285,-6.059901708661211,-6.585670649695879
30,25013800500,6,1215,-5.310739886546594,-6.264326779035134
35,25013800500,3,1065,-5.872117789475416,-6.278629998881224
40,25013800500,3,1100,-5.9044531701183525,-6.307819354260302
45,25013800500,0,990,-Inf,-6.049245829827904
50,25013800500,3,1140,-5.940171252720432,-5.675611601371631
55,25013800500,6,1140,-5.247024072160486,-5.191751744527071
60,25013800500,15,1085,-4.28128506487235,-4.734036710104232
65,25013800500,12,865,-4.277822857143879,-4.25080674578471
70,25013800500,12,615,-3.9367156180185177,-3.7551973603081903
75,25013800500,12,330,-3.3141860046725258,-3.187667059384265
80,25013800500,6,215,-3.578878558899608,-2.5080027924855366
85,25013800500,51,255,-1.6094379124341003,-1.740207725957217
0,25013800600,3,1080,-5.886104031450156,-6.694781022922918
5,25013800600,0,1150,-Inf,-7.133832412387627
10,25013800600,3,1095,-5.8998973535824915,-7.3734547571143265
15,25013800600,0,925,-Inf,-7.383232659640078
20,25013800600,0,845,-Inf,-7.21574077233577
25,25013800600,0,930,-Inf,-6.939137656057931
30,25013800600,0,955,-Inf,-6.60206261965453
35,25013800600,0,900,-Inf,-6.1979148190392745
40,25013800600,3,555,-5.220355825078324,-5.764328791079206
45,25013800600,0,590,-Inf,-5.395035895826984
50,25013800600,6,445,-4.306314812938186,-5.047821441104138
55,25013800600,6,555,-4.527208644518379,-4.713461698823334
60,25013800600,6,390,-4.174387269895637,-4.433240693172179
65,25013800600,6,335,-4.022371062597012,-4.1315357123847125
70,25013800600,12,310,-3.2516656476911914,-3.723684258373478
75,25013800600,9,145,-2.779509165084355,-3.2372506861928407
80,25013800600,3,65,-3.0757749812275272,-2.661401882218916
85,25013800600,12,105,-2.169053700369523,-2.002749348661328
0,25013800700,0,1455,-Inf,-8.364453871132092
5,25013800700,0,1700,-Inf,-8.960301716352273
10,25013800700,0,1950,-Inf,-9.021273122119174
15,25013800700,0,1905,-Inf,-8.452449239078815
20,25013800700,0,1295,-Inf,-7.535963684096903
25,25013800700,3,1165,-5.9618640773316915,-6.660466648776423
30,25013800700,6,1245,-5.3351313396707525,-5.943438004516551
35,25013800700,3,1230,-6.016157159698354,-5.647004455219214
40,25013800700,3,1100,-5.9044531701183525,-5.45726575176927
45,25013800700,3,880,-5.681309618804143,-5.213239931863881
50,25013800700,6,950,-5.064702515366531,-4.971548419191723
55,25013800700,15,1130,-4.321922710604176,-4.707713965762502
60,25013800700,15,1080,-4.276666119016055,-4.383670642214024
65,25013800700,18,835,-3.837059966954691,-4.0199794831933096
