tractCode,x,pop,deaths,name
25013800101,0,254,3,Census Tract 8001.01
25013800101,5,307,0,Census Tract 8001.01
25013800101,10,322,0,Census Tract 8001.01
25013800101,15,325,0,Census Tract 8001.01
25013800101,20,238,0,Census Tract 8001.01
25013800101,25,292,3,Census Tract 8001.01
25013800101,30,302,3,Census Tract 8001.01
25013800101,35,281,0,Census Tract 8001.01
25013800101,40,280,3,Census Tract 8001.01
25013800101,45,265,3,Census Tract 8001.01
25013800101,50,247,6,Census Tract 8001.01
25013800101,55,254,12,Census Tract 8001.01
25013800101,60,208,15,Census Tract 8001.01
25013800101,65,191,21,Census Tract 8001.01
25013800101,70,130,15,Census Tract 8001.01
25013800101,75,86,18,Census Tract 8001.01
25013800101,80,53,24,Census Tract 8001.01
25013800101,85,54,45,Census Tract 8001.01
25013800102,0,345,3,Census Tract 8001.02
25013800102,5,337,0,Census Tract 8001.02
25013800102,10,423,0,Census Tract 8001.02
25013800102,15,333,3,Census Tract 8001.02
25013800102,20,275,3,Census Tract 8001.02
25013800102,25,351,6,Census Tract 8001.02
25013800102,30,355,3,Census Tract 8001.02
25013800102,35,320,0,Census Tract 8001.02
25013800102,40,324,6,Census Tract 8001.02
25013800102,45,257,6,Census Tract 8001.02
25013800102,50,252,9,Census Tract 8001.02
25013800102,55,227,12,Census Tract 8001.02
25013800102,60,192,18,Census Tract 8001.02
25013800102,65,175,12,Census Tract 8001.02
25013800102,70,112,15,Census Tract 8001.02
25013800102,75,90,12,Census Tract 8001.02
25013800102,80,35,12,Census Tract 8001.02
25013800102,85,35,18,Census Tract 8001.02
25013800201,0,331,0,Census Tract 8002.01
25013800201,5,420,0,Census Tract 8002.01
25013800201,10,421,0,Census Tract 8002.01
25013800201,15,431,0,Census Tract 8002.01
25013800201,20,449,0,Census Tract 8002.01
25013800201,25,457,6,Census Tract 8002.01
25013800201,30,427,3,Census Tract 8002.01
25013800201,35,430,3,Census Tract 8002.01
25013800201,40,455,6,Census Tract 8002.01
25013800201,45,432,6,Census Tract 8002.01
25013800201,50,473,12,Census Tract 8002.01
25013800201,55,469,27,Census Tract 8002.01
25013800201,60,442,21,Census Tract 8002.01
25013800201,65,325,21,Census Tract 8002.01
25013800201,70,264,33,Census Tract 8002.01
25013800201,75,171,27,Census Tract 8002.01
25013800201,80,90,27,Census Tract 8002.01
25013800201,85,90,87,Census Tract 8002.01
25013800202,0,82,0,Census Tract 8002.02
25013800202,5,86,0,Census Tract 8002.02
25013800202,10,92,0,Census Tract 8002.02
25013800202,15,93,0,Census Tract 8002.02
25013800202,20,89,0,Census Tract 8002.02
25013800202,25,94,0,Census Tract 8002.02
25013800202,30,83,0,Census Tract 8002.02
25013800202,35,79,3,Census Tract 8002.02
25013800202,40,85,3,Census Tract 8002.02
25013800202,45,98,3,Census Tract 8002.02
25013800202,50,111,3,Census Tract 8002.02
25013800202,55,116,3,Census Tract 8002.02
25013800202,60,114,12,Census Tract 8002.02
25013800202,65,98,12,Census Tract 8002.02
25013800202,70,53,3,Census Tract 8002.02
25013800202,75,15,12,Census Tract 8002.02
25013800202,80,25,9,Census Tract 8002.02
25013800202,85,22,15,Census Tract 8002.02
25013800300,0,227,0,Census Tract 8003.00
25013800300,5,263,0,Census Tract 8003.00
